1,635555444318959371,466,195,-22
1,635555444319209671,466,195,-22
1,635555444319500019,466,195,-22
1,635555444319800379,466,195,-22
1,635555444320130775,466,195,-22
1,635555444320431135,466,195,-22
1,635555444320711471,466,195,-22
1,635555444321031855,466,195,-22
1,635555444321352239,466,195,-22
1,635555444321652599,466,195,-22
1,635555444322003019,466,195,-22
1,635555444322303379,466,195,-22
1,635555444322603739,466,195,-22
1,635555444322904099,466,195,-22
1,635555444323234495,466,195,-22
1,635555444323584915,466,195,-22
1,635555444323865251,466,195,-22
1,635555444324255719,466,195,-22
1,635555444324536055,466,195,-22
1,635555444324846427,466,195,-22
1,635555444325106739,466,195,-22
1,635555444325427123,466,195,-22
1,635555444325757519,466,195,-22
1,635555444326087915,466,195,-22
1,635555444326408299,466,195,-22
1,635555444326688635,466,195,-22
1,635555444326968971,466,195,-22
1,635555444327519631,466,195,-22
1,635555444327699847,466,195,-22
1,635555444327970171,466,195,-22
1,635555444328280543,466,195,-22
1,635555444328530843,466,195,-22
1,635555444328871251,466,195,-22
1,635555444329171611,466,195,-22
1,635555444329471971,466,195,-22
1,635555444329822391,466,195,-22
1,635555444330182823,466,195,-22
1,635555444330443135,466,195,-22
1,635555444330753507,466,195,-22
1,635555444331033843,466,195,-22
1,635555444331334203,466,195,-22
1,635555444331664599,466,195,-22
1,635555444331974971,466,195,-22
1,635555444332295355,466,195,-22
1,635555444332625751,466,195,-22
1,635555444332916099,466,195,-22
1,635555444333226471,466,195,-22
1,635555444333606927,466,195,-22
1,635555444333857227,466,195,-22
1,635555444334177611,466,195,-22
1,635555444334467959,466,195,-22
1,635555444334798355,466,195,-22
1,635555444335098715,466,195,-22
1,635555444335459147,466,195,-22
1,635555444335769519,466,195,-22
1,635555444336049855,466,195,-22
1,635555444336330191,466,195,-22
1,635555444336680611,466,195,-22
1,635555444336970959,466,195,-22
1,635555444337661787,466,195,-22
1,635555444337821979,466,195,-22
1,635555444337922099,466,195,-22
1,635555444338222459,466,195,-22
1,635555444338532831,466,195,-22
1,635555444338853215,466,195,-22
1,635555444339223659,466,195,-22
1,635555444339503995,466,195,-22
1,635555444339774319,466,195,-22
1,635555444340114727,466,195,-22
1,635555444340395063,466,195,-22
1,635555444340715447,466,195,-22
1,635555444341055855,466,195,-22
1,635555444341336191,466,195,-22
1,635555444341646563,466,195,-22
1,635555444341946923,466,195,-22
1,635555444342287331,466,195,-22
1,635555444342607715,466,195,-22
1,635555444342898063,466,195,-22
1,635555444343228459,466,195,-22
1,635555444343538831,466,195,-22
1,635555444343909275,466,195,-22
1,635555444344169587,466,195,-22
1,635555444344489971,466,195,-22
1,635555444344830379,466,195,-22
1,635555444345120727,466,195,-22
1,635555444345441111,466,195,-22
1,635555444345741471,466,195,-22
1,635555444346041831,466,195,-22
1,635555444346332179,466,195,-22
1,635555444346792731,466,195,-22
1,635555444346952923,466,195,-22
1,635555444347293331,466,195,-22
1,635555444347823967,466,195,-22
